timestamp,/auv25/imu/odom_estimate,/auv25/imu/raw,/auv25/sensor_packet,/cmd_vel,/thruster_output
2025-11-27 13:44:36.077,"[-312.6269384699445, 4986.081120702384, -599.8426057040527, -0.3052508370243161, -0.0712463194055042, 0.17575088025062177, 0.9331974692198082]","[0.0, 0.0, 0.0, 1.0, -0.0031975497746461, 0.054491577409593955, 0.007860643196004996, -9.241618408203124, -0.5793968017578125, -3.3710359375]","[17966, 0, 25109, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:36.126,"[-314.9286387674548, 5002.6666801926085, -601.9753317258674, -0.3055408349742368, -0.07141902406465389, 0.17613628499452189, 0.933016682741111]","[0.0, 0.0, 0.0, 1.0, -0.00866003063966652, 0.06315160804926047, 0.004529862180748642, -9.234435803222656, -0.4525041137695312, -3.5003228271484375]","[17966, 0, 25109, 0, -97, 1999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:36.177,"[-314.9286387674548, 5002.6666801926085, -601.9753317258674, -0.3055408349742368, -0.07141902406465389, 0.17613628499452189, 0.933016682741111]","[0.0, 0.0, 0.0, 1.0, -0.00866003063966652, 0.06315160804926047, 0.004529862180748642, -9.234435803222656, -0.4525041137695312, -3.5003228271484375]","[15558, 0, 21858, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:36.227,"[-317.24687137000126, 5019.3282193672485, -604.1178788922103, -0.3059408842921576, -0.0700340862825167, 0.1768510191290839, 0.932855358086188]","[0.0, 0.0, 0.0, 1.0, -0.004929555902579405, 0.06181929564315793, 0.03357427263378405, -9.279925634765624, -0.3064578125, -3.366247534179687]","[15558, 0, 21858, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:36.277,"[-317.24687137000126, 5019.3282193672485, -604.1178788922103, -0.3059408842921576, -0.0700340862825167, 0.1768510191290839, 0.932855358086188]","[0.0, 0.0, 0.0, 1.0, -0.004929555902579405, 0.06181929564315793, 0.03357427263378405, -9.279925634765624, -0.3064578125, -3.366247534179687]","[15558, 0, 21858, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:36.327,"[-319.5666634263608, 5035.961729349853, -606.25915229229, -0.3052985904079239, -0.06991310289051474, 0.17707080398280353, 0.933033150062761]","[0.0, 0.0, 0.0, 1.0, -0.0033307810152563544, 0.04836294034152226, 0.004263399699528133, -9.129090930175781, -0.36631285400390623, -3.1579519897460937]","[15558, 0, 21858, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:36.376,"[-319.5666634263608, 5035.961729349853, -606.25915229229, -0.3052985904079239, -0.06991310289051474, 0.17707080398280353, 0.933033150062761]","[0.0, 0.0, 0.0, 1.0, -0.0033307810152563544, 0.04836294034152226, 0.004263399699528133, -9.129090930175781, -0.36631285400390623, -3.1579519897460937]","[15558, 0, 21858, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:36.426,"[-321.91075379855897, 5052.73727323912, -608.4209447919727, -0.30471573338642016, -0.0699660195974251, 0.17745434160605586, 0.9331468451286915]","[0.0, 0.0, 0.0, 1.0, -0.0075941807147844875, 0.049961715228845315, 0.004529862180748642, -9.13627353515625, -0.4740519287109375, -3.1507693847656246]","[15558, 0, 21858, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:36.477,"[-321.91075379855897, 5052.73727323912, -608.4209447919727, -0.30471573338642016, -0.0699660195974251, 0.17745434160605586, 0.9331468451286915]","[0.0, 0.0, 0.0, 1.0, -0.0075941807147844875, 0.049961715228845315, 0.004529862180748642, -9.13627353515625, -0.4740519287109375, -3.1507693847656246]","[17564, 0, 22719, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:36.527,"[-324.2546061721196, 5069.468575273552, -610.5784368700182, -0.3050887070210943, -0.07010145495263288, 0.17790098429133228, 0.9329297436837868]","[0.0, 0.0, 0.0, 1.0, -0.0095926493239383, 0.06941347635794241, 0.0039969372183076245, -9.200916979980468, -0.32082302246093747, -3.2249896362304686]","[17564, 0, 22719, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
